# File: A54.india_StubTranTechLoadFactor.csv
# Title: Load factor of passenger and freight sub technology wise
# Units: Number of people/ tons per vehicle
# Column types: ccccin
# ----------
region,supplysector,tranSubsector,stub.technology,year,loadFactor
India,trn_freight,Freight Rail,Liquids,2080,1122.48
India,trn_freight,Freight Rail,Liquids,2085,1122.48
India,trn_freight,Freight Rail,Liquids,2090,1122.48
India,trn_freight,Freight Rail,Liquids,2095,1122.48
India,trn_freight,Freight Rail,Liquids,2100,1122.48
India,trn_freight_road,Truck,Liquids,1975,5.3859
India,trn_freight_road,Truck,Liquids,1990,5.3859
India,trn_freight_road,Truck,Liquids,2005,5.3859
India,trn_freight_road,Truck,Liquids,2010,5.3859
India,trn_freight_road,Truck,Liquids,2015,5.1347
India,trn_freight_road,Truck,Liquids,2020,5.1347
India,trn_freight_road,Truck,Liquids,2025,5.1347
India,trn_freight_road,Truck,Liquids,2030,5.1347
India,trn_freight_road,Truck,Liquids,2035,5.1347
India,trn_freight_road,Truck,Liquids,2040,5.1347
India,trn_freight_road,Truck,Liquids,2045,5.1347
India,trn_freight_road,Truck,Liquids,2050,5.1347
India,trn_freight_road,Truck,Liquids,2055,5.1347
India,trn_freight_road,Truck,Liquids,2060,5.1347
India,trn_freight_road,Truck,Liquids,2065,5.1347
India,trn_freight_road,Truck,Liquids,2070,5.1347
India,trn_freight_road,Truck,Liquids,2075,5.1347
India,trn_freight_road,Truck,Liquids,2080,5.1347
India,trn_freight_road,Truck,Liquids,2085,5.1347
India,trn_freight_road,Truck,Liquids,2090,5.1347
India,trn_freight_road,Truck,Liquids,2095,5.1347
India,trn_freight_road,Truck,Liquids,2100,5.1347
India,trn_freight_road,Truck,NG,1975,5.3859
India,trn_freight_road,Truck,NG,1990,5.3859
India,trn_freight_road,Truck,NG,2005,5.3859
India,trn_freight_road,Truck,NG,2010,5.3859
India,trn_freight_road,Truck,NG,2015,5.1347
India,trn_freight_road,Truck,NG,2020,5.1347
India,trn_freight_road,Truck,NG,2025,5.1347
India,trn_freight_road,Truck,NG,2030,5.1347
India,trn_freight_road,Truck,NG,2035,5.1347
India,trn_freight_road,Truck,NG,2040,5.1347
India,trn_freight_road,Truck,NG,2045,5.1347
India,trn_freight_road,Truck,NG,2050,5.1347
India,trn_freight_road,Truck,NG,2055,5.1347
India,trn_freight_road,Truck,NG,2060,5.1347
India,trn_freight_road,Truck,NG,2065,5.1347
India,trn_freight_road,Truck,NG,2070,5.1347
India,trn_freight_road,Truck,NG,2075,5.1347
India,trn_freight_road,Truck,NG,2080,5.1347
India,trn_freight_road,Truck,NG,2085,5.1347
India,trn_freight_road,Truck,NG,2090,5.1347
India,trn_freight_road,Truck,NG,2095,5.1347
India,trn_freight_road,Truck,NG,2100,5.1347
India,trn_freight_road,Truck,Electric,1975,5.3859
India,trn_freight_road,Truck,Electric,1990,5.3859
India,trn_freight_road,Truck,Electric,2005,5.3859
India,trn_freight_road,Truck,Electric,2010,5.3859
India,trn_freight_road,Truck,Electric,2015,5.1347
India,trn_freight_road,Truck,Electric,2020,5.1347
India,trn_freight_road,Truck,Electric,2025,5.1347
India,trn_freight_road,Truck,Electric,2030,5.1347
India,trn_freight_road,Truck,Electric,2035,5.1347
India,trn_freight_road,Truck,Electric,2040,5.1347
India,trn_freight_road,Truck,Electric,2045,5.1347
India,trn_freight_road,Truck,Electric,2050,5.1347
India,trn_freight_road,Truck,Electric,2055,5.1347
India,trn_freight_road,Truck,Electric,2060,5.1347
India,trn_freight_road,Truck,Electric,2065,5.1347
India,trn_freight_road,Truck,Electric,2070,5.1347
India,trn_freight_road,Truck,Electric,2075,5.1347
India,trn_freight_road,Truck,Electric,2080,5.1347
India,trn_freight_road,Truck,Electric,2085,5.1347
India,trn_freight_road,Truck,Electric,2090,5.1347
India,trn_freight_road,Truck,Electric,2095,5.1347
India,trn_freight_road,Truck,Electric,2100,5.1347
India,trn_pass,Air Domestic,Liquids,1975,122.33
India,trn_pass,Air Domestic,Liquids,1990,122.33
India,trn_pass,Air Domestic,Liquids,2005,122.33
India,trn_pass,Air Domestic,Liquids,2010,125.49
India,trn_pass,Air Domestic,Liquids,2015,128.66
India,trn_pass,Air Domestic,Liquids,2020,131.83
India,trn_pass,Air Domestic,Liquids,2025,134.19
India,trn_pass,Air Domestic,Liquids,2030,136.56
India,trn_pass,Air Domestic,Liquids,2035,138.92
India,trn_pass,Air Domestic,Liquids,2040,140.33
India,trn_pass,Air Domestic,Liquids,2045,141.74
India,trn_pass,Air Domestic,Liquids,2050,143.15
India,trn_pass,Air Domestic,Liquids,2055,143.15
India,trn_pass,Air Domestic,Liquids,2060,143.15
India,trn_pass,Air Domestic,Liquids,2065,143.15
India,trn_pass,Air Domestic,Liquids,2070,143.15
India,trn_pass,Air Domestic,Liquids,2075,143.15
India,trn_pass,Air Domestic,Liquids,2080,143.15
India,trn_pass,Air Domestic,Liquids,2085,143.15
India,trn_pass,Air Domestic,Liquids,2090,143.15
India,trn_pass,Air Domestic,Liquids,2095,143.15
India,trn_pass,Air Domestic,Liquids,2100,143.15
India,trn_pass,HSR,Electric,1975,1152.01
India,trn_pass,HSR,Electric,1990,1152.01
India,trn_pass,HSR,Electric,2005,1152.01
India,trn_pass,HSR,Electric,2010,1152.01
India,trn_pass,HSR,Electric,2015,1152.01
India,trn_pass,HSR,Electric,2020,1152.01
India,trn_pass,HSR,Electric,2025,1152.01
India,trn_pass,HSR,Electric,2030,1152.01
India,trn_pass,HSR,Electric,2035,1152.01
India,trn_pass,HSR,Electric,2040,1152.01
India,trn_pass,HSR,Electric,2045,1152.01
India,trn_pass,HSR,Electric,2050,1152.01
India,trn_pass,HSR,Electric,2055,1152.01
India,trn_pass,HSR,Electric,2060,1152.01
India,trn_pass,HSR,Electric,2065,1152.01
India,trn_pass,HSR,Electric,2070,1152.01
India,trn_pass,HSR,Electric,2075,1152.01
India,trn_pass,HSR,Electric,2080,1152.01
India,trn_pass,HSR,Electric,2085,1152.01
India,trn_pass,HSR,Electric,2090,1152.01
India,trn_pass,HSR,Electric,2095,1152.01
India,trn_pass,HSR,Electric,2100,1152.01
India,trn_pass,Passenger Rail,Electric,1975,1167.61
India,trn_pass,Passenger Rail,Electric,1990,1167.61
India,trn_pass,Passenger Rail,Electric,2005,1167.61
India,trn_pass,Passenger Rail,Electric,2010,1167.61
India,trn_pass,Passenger Rail,Electric,2015,1195.29
India,trn_pass,Passenger Rail,Electric,2020,1120.54
India,trn_pass,Passenger Rail,Electric,2025,1120.54
India,trn_pass,Passenger Rail,Electric,2030,1120.54
India,trn_pass,Passenger Rail,Electric,2035,1120.54
India,trn_pass,Passenger Rail,Electric,2040,1120.54
India,trn_pass,Passenger Rail,Electric,2045,1120.54
India,trn_pass,Passenger Rail,Electric,2050,1120.54
India,trn_pass,Passenger Rail,Electric,2055,1120.54
India,trn_pass,Passenger Rail,Electric,2060,1120.54
India,trn_pass,Passenger Rail,Electric,2065,1120.54
India,trn_pass,Passenger Rail,Electric,2070,1120.54
India,trn_pass,Passenger Rail,Electric,2075,1120.54
India,trn_pass,Passenger Rail,Electric,2080,1120.54
India,trn_pass,Passenger Rail,Electric,2085,1120.54
India,trn_pass,Passenger Rail,Electric,2090,1120.54
India,trn_pass,Passenger Rail,Electric,2095,1120.54
India,trn_pass,Passenger Rail,Electric,2100,1120.54
India,trn_pass,Passenger Rail,Liquids,1975,1167.61
India,trn_pass,Passenger Rail,Liquids,1990,1167.61
India,trn_pass,Passenger Rail,Liquids,2005,1167.61
India,trn_pass,Passenger Rail,Liquids,2010,1167.61
India,trn_pass,Passenger Rail,Liquids,2015,1195.29
India,trn_pass,Passenger Rail,Liquids,2020,1120.54
India,trn_pass,Passenger Rail,Liquids,2025,1120.54
India,trn_pass,Passenger Rail,Liquids,2030,1120.54
India,trn_pass,Passenger Rail,Liquids,2035,1120.54
India,trn_pass,Passenger Rail,Liquids,2040,1120.54
India,trn_pass,Passenger Rail,Liquids,2045,1120.54
India,trn_pass,Passenger Rail,Liquids,2050,1120.54
India,trn_pass,Passenger Rail,Liquids,2055,1120.54
India,trn_pass,Passenger Rail,Liquids,2060,1120.54
India,trn_pass,Passenger Rail,Liquids,2065,1120.54
India,trn_pass,Passenger Rail,Liquids,2070,1120.54
India,trn_pass,Passenger Rail,Liquids,2075,1120.54
India,trn_pass,Passenger Rail,Liquids,2080,1120.54
India,trn_pass,Passenger Rail,Liquids,2085,1120.54
India,trn_pass,Passenger Rail,Liquids,2090,1120.54
India,trn_pass,Passenger Rail,Liquids,2095,1120.54
India,trn_pass,Passenger Rail,Liquids,2100,1120.54
India,trn_pass_road,Bus,Liquids,1975,41
India,trn_pass_road,Bus,Liquids,1990,41
India,trn_pass_road,Bus,Liquids,2005,41
India,trn_pass_road,Bus,Liquids,2010,41
India,trn_pass_road,Bus,Liquids,2015,41
India,trn_pass_road,Bus,Liquids,2020,41
India,trn_pass_road,Bus,Liquids,2025,41
India,trn_pass_road,Bus,Liquids,2030,41
India,trn_pass_road,Bus,Liquids,2035,41
India,trn_pass_road,Bus,Liquids,2040,41
India,trn_pass_road,Bus,Liquids,2045,41
India,trn_pass_road,Bus,Liquids,2050,41
India,trn_pass_road,Bus,Liquids,2055,41
India,trn_pass_road,Bus,Liquids,2060,41
India,trn_pass_road,Bus,Liquids,2065,41
India,trn_pass_road,Bus,Liquids,2070,41
India,trn_pass_road,Bus,Liquids,2075,41
India,trn_pass_road,Bus,Liquids,2080,41
India,trn_pass_road,Bus,Liquids,2085,41
India,trn_pass_road,Bus,Liquids,2090,41
India,trn_pass_road,Bus,Liquids,2095,41
India,trn_pass_road,Bus,Liquids,2100,41
India,trn_pass_road,Bus,NG,1975,41
India,trn_pass_road,Bus,NG,1990,41
India,trn_pass_road,Bus,NG,2005,41
India,trn_pass_road,Bus,NG,2010,41
India,trn_pass_road,Bus,NG,2015,41
India,trn_pass_road,Bus,NG,2020,41
India,trn_pass_road,Bus,NG,2025,41
India,trn_pass_road,Bus,NG,2030,41
India,trn_pass_road,Bus,NG,2035,41
India,trn_pass_road,Bus,NG,2040,41
India,trn_pass_road,Bus,NG,2045,41
India,trn_pass_road,Bus,NG,2050,41
India,trn_pass_road,Bus,NG,2055,41
India,trn_pass_road,Bus,NG,2060,41
India,trn_pass_road,Bus,NG,2065,41
India,trn_pass_road,Bus,NG,2070,41
India,trn_pass_road,Bus,NG,2075,41
India,trn_pass_road,Bus,NG,2080,41
India,trn_pass_road,Bus,NG,2085,41
India,trn_pass_road,Bus,NG,2090,41
India,trn_pass_road,Bus,NG,2095,41
India,trn_pass_road,Bus,NG,2100,41
India,trn_pass_road,Bus,Electric,1975,41
India,trn_pass_road,Bus,Electric,1990,41
India,trn_pass_road,Bus,Electric,2005,41
India,trn_pass_road,Bus,Electric,2010,41
India,trn_pass_road,Bus,Electric,2015,41
India,trn_pass_road,Bus,Electric,2020,41
India,trn_pass_road,Bus,Electric,2025,41
India,trn_pass_road,Bus,Electric,2030,41
India,trn_pass_road,Bus,Electric,2035,41
India,trn_pass_road,Bus,Electric,2040,41
India,trn_pass_road,Bus,Electric,2045,41
India,trn_pass_road,Bus,Electric,2050,41
India,trn_pass_road,Bus,Electric,2055,41
India,trn_pass_road,Bus,Electric,2060,41
India,trn_pass_road,Bus,Electric,2065,41
India,trn_pass_road,Bus,Electric,2070,41
India,trn_pass_road,Bus,Electric,2075,41
India,trn_pass_road,Bus,Electric,2080,41
India,trn_pass_road,Bus,Electric,2085,41
India,trn_pass_road,Bus,Electric,2090,41
India,trn_pass_road,Bus,Electric,2095,41
India,trn_pass_road,Bus,Electric,2100,41
India,trn_pass_road_LDV,LDV_3W,Liquids,1975,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,1990,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2005,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2010,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2015,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2020,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2025,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2030,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2035,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2040,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2045,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2050,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2055,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2060,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2065,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2070,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2075,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2080,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2085,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2090,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2095,1.76
India,trn_pass_road_LDV,LDV_3W,Liquids,2100,1.76
India,trn_pass_road_LDV,LDV_3W,NG,1975,1.76
India,trn_pass_road_LDV,LDV_3W,NG,1990,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2005,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2010,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2015,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2020,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2025,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2030,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2035,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2040,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2045,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2050,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2055,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2060,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2065,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2070,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2075,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2080,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2085,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2090,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2095,1.76
India,trn_pass_road_LDV,LDV_3W,NG,2100,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,1975,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,1990,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2005,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2010,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2015,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2020,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2025,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2030,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2035,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2040,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2045,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2050,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2055,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2060,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2065,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2070,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2075,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2080,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2085,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2090,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2095,1.76
India,trn_pass_road_LDV,LDV_3W,Electric,2100,1.76
India,trn_pass_road_LDV_2W,LDV_2W,Electric,1975,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,1990,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2005,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2010,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2015,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2020,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2025,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2030,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2035,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2040,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2045,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2050,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2055,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2060,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2065,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2070,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2075,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2080,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2085,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2090,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2095,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Electric,2100,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,1975,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,1990,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2005,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2010,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2015,1.52
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2020,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2025,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2030,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2035,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2040,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2045,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2050,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2055,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2060,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2065,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2070,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2075,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2080,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2085,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2090,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2095,1.5
India,trn_pass_road_LDV_2W,LDV_2W,Liquids,2100,1.5
India,trn_pass_road_LDV_4W,LDV_4W,Electric,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2010,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2015,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2020,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2025,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2030,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2035,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2040,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2045,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2050,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2055,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2060,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2065,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2070,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2075,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2080,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2085,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2090,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2095,2.14
India,trn_pass_road_LDV_4W,LDV_4W,Electric,2100,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,1975,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,1990,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2005,2.75
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2010,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2015,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2020,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2025,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2030,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2035,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2040,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2045,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2050,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2055,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2060,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2065,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2070,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2075,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2080,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2085,2.14
India,trn_pass_road_LDV_4W,LDV_4W,FCEV,2090,2.14
