# File: A44.india_state_in_EJ_res_F_hotwater_Y.csv
# Title: State-wise hotwater energy demand in India
# Units: EJ/yr
# Comments: Residential hotwater energy demand 
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnn
# ----------
state,sector,fuel,service,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CG,resid rural,electricity,resid rural water heaters,0.002602398,0.016127845,0.029653293,0.04317874,0.056704188,0.070229636,0.083755083,0.097280531,0.110805979,0.124331426,0.137856874
CG,resid rural,refined liquids,resid rural water heaters,0.002722576,0.023482364,0.044242151,0.065001938,0.085761725,0.106521512,0.127281299,0.148041087,0.168800874,0.189560661,0.210320448
CH,resid rural,electricity,resid rural water heaters,0.001840246,0.02511394,0.048387633,0.071661327,0.094935021,0.118208714,0.141482408,0.164756102,0.188029796,0.211303489,0.234577183
CH,resid rural,refined liquids,resid rural water heaters,0.001493686,0.015597262,0.029700838,0.043804414,0.05790799,0.072011566,0.086115142,0.100218718,0.114322294,0.12842587,0.142529446
DD,resid rural,electricity,resid rural water heaters,0.001445085,0.018328266,0.035211447,0.052094629,0.06897781,0.085860992,0.102744173,0.119627355,0.136510536,0.153393718,0.170276899
DD,resid rural,refined liquids,resid rural water heaters,0.002359399,0.011208939,0.02005848,0.02890802,0.037757561,0.046607101,0.055456642,0.064306182,0.073155723,0.082005263,0.090854803
DL,resid rural,electricity,resid rural water heaters,0.002191357,2.25E-02,0.042885892,6.32E-02,0.083580427,1.04E-01,0.124274961,1.45E-01,0.164969496,1.85E-01,0.205664031
DL,resid rural,refined liquids,resid rural water heaters,0.002235725,0.023484762,0.044733798,0.065982835,0.087231872,0.108480908,0.129729945,0.150978982,0.172228018,0.193477055,0.214726092
DN,resid rural,electricity,resid rural water heaters,0.002257909,0.02395783,0.045657752,0.067357673,0.089057594,0.110757516,0.132457437,0.154157358,0.17585728,0.197557201,0.219257122
DN,resid rural,refined liquids,resid rural water heaters,2.30E-03,0.024903967,4.75E-02,0.070107349,9.27E-02,0.11531073,1.38E-01,0.160514111,1.83E-01,0.205717493,2.28E-01
GA,resid rural,electricity,resid rural water heaters,0.002457563,0.028215447,0.05397333,0.079731213,0.105489097,0.13124698,0.157004864,0.182762747,0.208520631,0.234278514,0.260036398
GA,resid rural,refined liquids,resid rural water heaters,0.002501931,0.029161584,0.055821236,0.082480889,0.109140542,0.135800195,0.162459848,0.1891195,0.215779153,0.242438806,0.269098459
GJ,resid rural,electricity,resid rural water heaters,0.002524115,0.029634652,0.05674519,0.083855727,0.110966264,0.138076802,0.165187339,0.192297877,0.219408414,0.246518952,0.273629489
GJ,resid rural,refined liquids,resid rural water heaters,0.002568482,0.030580789,0.058593096,0.086605403,0.11461771,0.142630016,0.170642323,0.19865463,0.226666937,0.254679244,0.28269155
HP,resid rural,electricity,resid rural water heaters,0.002723769,0.033892269,0.065060768,0.096229268,0.127397767,0.158566267,0.189734766,0.220903266,0.252071765,0.283240265,0.314408765
HP,resid rural,refined liquids,resid rural water heaters,0.002768137,0.034838406,0.066908674,0.098978943,0.131049212,0.163119481,0.19518975,0.227260019,0.259330288,0.291400557,0.323470826
HR,resid rural,electricity,resid rural water heaters,0.00279032,0.035311474,0.067832628,0.100353781,0.132874935,0.165396088,0.197917242,0.230438396,0.262959549,0.295480703,0.328001856
HR,resid rural,refined liquids,resid rural water heaters,0.002834688,0.036257611,0.069680534,0.103103457,0.13652638,0.169949303,0.203372226,0.236795149,0.270218072,0.303640995,0.337063917
JH,resid rural,electricity,resid rural water heaters,0.002989975,0.03956909,0.076148206,0.112727322,0.149306437,0.185885553,0.222464669,0.259043785,0.2956229,0.332202016,0.368781132
JH,resid rural,refined liquids,resid rural water heaters,3.03E-03,0.040515227,7.80E-02,0.115476998,1.53E-01,0.190438768,2.28E-01,0.265400538,3.03E-01,0.340362308,3.78E-01
JK,resid rural,electricity,resid rural water heaters,0.003056526,0.040988296,0.078920066,0.116851835,0.154783605,0.192715375,0.230647144,0.268578914,0.306510684,0.344442454,0.382374223
JK,resid rural,refined liquids,resid rural water heaters,0.003100894,0.041934433,0.080767972,0.119601511,0.15843505,0.197268589,0.236102128,0.274935667,0.313769206,0.352602745,0.391436284
KA,resid rural,electricity,resid rural water heaters,3.12E-03,0.042407502,8.17E-02,0.120976349,1.60E-01,0.199545196,2.39E-01,0.278114043,3.18E-01,0.356682891,3.96E-01
KA,resid rural,refined liquids,resid rural water heaters,0.003300548,0.046192049,0.089083551,0.131975052,0.174866553,0.217758054,0.260649555,0.303541056,0.346432557,0.389324059,0.43221556
KL,resid rural,electricity,resid rural water heaters,0.003322732,0.046665118,0.090007504,0.13334989,0.176692275,0.220034661,0.263377047,0.306719433,0.350061819,0.393404204,0.43674659
KL,resid rural,refined liquids,resid rural water heaters,0.0033671,0.047611255,0.09185541,0.136099565,0.18034372,0.224587876,0.268832031,0.313076186,0.357320341,0.401564496,0.445808651
LA,resid rural,electricity,resid rural water heaters,0.003522386,0.050922734,0.098323082,0.14572343,0.193123778,0.240524126,0.287924474,0.335324822,0.38272517,0.430125518,0.477525866
LA,resid rural,refined liquids,resid rural water heaters,0.003566754,0.051868871,0.100170989,0.148473106,0.196775223,0.24507734,0.293379458,0.341681575,0.389983692,0.438285809,0.486587927
LD,resid rural,electricity,resid rural water heaters,0.003588938,5.23E-02,0.101094942,1.50E-01,0.198600946,2.47E-01,0.29610695,3.45E-01,0.393612953,4.42E-01,0.491118957
LD,resid rural,refined liquids,resid rural water heaters,0.003633305,5.33E-02,0.102942848,1.53E-01,0.202252391,2.52E-01,0.301561933,3.51E-01,0.400871476,4.51E-01,0.500181018
MH,resid rural,electricity,resid rural water heaters,0.003788592,0.056599556,0.10941052,0.162221484,0.215032448,0.267843412,0.320654376,0.37346534,0.426276304,0.479087268,0.531898233
MH,resid rural,refined liquids,resid rural water heaters,0.00383296,0.057545693,0.111258427,0.16497116,0.218683893,0.272396627,0.32610936,0.379822094,0.433534827,0.48724756,0.540960294
ML,resid rural,electricity,resid rural water heaters,0.003855144,0.058018762,0.11218238,0.166345998,0.220509616,0.274673234,0.328836852,0.38300047,0.437164088,0.491327706,0.545491324
ML,resid rural,refined liquids,resid rural water heaters,0.003899511,0.058964899,0.114030286,0.169095674,0.224161061,0.279226448,0.334291836,0.389357223,0.444422611,0.499487998,0.554553385
MN,resid rural,electricity,resid rural water heaters,0.004054798,0.062276378,0.120497958,0.178719538,0.236941119,0.295162699,0.353384279,0.411605859,0.469827439,0.528049019,0.5862706
MN,resid rural,refined liquids,resid rural water heaters,0.004099166,0.063222515,0.122345865,0.181469214,0.240592564,0.299715913,0.358839263,0.417962612,0.477085962,0.536209311,0.595332661
MP,resid rural,electricity,resid rural water heaters,0.004121349,0.063695584,0.123269818,0.182844052,0.242418286,0.30199252,0.361566755,0.421140989,0.480715223,0.540289457,0.599863691
MP,resid rural,refined liquids,resid rural water heaters,0.004165717,0.064641721,0.125117724,0.185593728,0.246069731,0.306545735,0.367021738,0.427497742,0.487973745,0.548449749,0.608925752
MZ,resid rural,electricity,resid rural water heaters,0.004321004,6.80E-02,0.131585396,1.95E-01,0.258849789,3.22E-01,0.386114181,4.50E-01,0.513378574,5.77E-01,0.640642967
MZ,resid rural,refined liquids,resid rural water heaters,0.004365371,6.89E-02,0.133433303,1.98E-01,0.262501234,3.27E-01,0.391569165,4.56E-01,0.520637096,5.85E-01,0.649705028
NL,resid rural,electricity,resid rural water heaters,0.004387555,6.94E-02,0.134357256,1.99E-01,0.264326956,3.29E-01,0.394296657,4.59E-01,0.524266358,5.89E-01,0.654236058
NL,resid rural,refined liquids,resid rural water heaters,0.004431923,0.070318543,0.136205162,0.202091782,0.267978402,0.333865021,0.399751641,0.46563826,0.53152488,0.5974115,0.663298119
OD,resid rural,electricity,resid rural water heaters,0.00458721,0.073630022,0.142672834,0.211715647,0.280758459,0.349801272,0.418844084,0.487886896,0.556929709,0.625972521,0.695015334
OD,resid rural,refined liquids,resid rural water heaters,0.004631577,0.074576159,0.144520741,0.214465322,0.284409904,0.354354486,0.424299068,0.494243649,0.564188231,0.634132813,0.704077395
PB,resid rural,electricity,resid rural water heaters,0.004653761,0.075049227,0.145444694,0.21584016,0.286235627,0.356631093,0.42702656,0.497422026,0.567817492,0.638212959,0.708608425
PB,resid rural,refined liquids,resid rural water heaters,0.004698129,0.075995364,0.1472926,0.218589836,0.289887072,0.361184308,0.432481543,0.503778779,0.575076015,0.646373251,0.717670486
PC,resid rural,electricity,resid rural water heaters,0.004853415,0.079306844,0.153760272,0.228213701,0.302667129,0.377120558,0.451573986,0.526027415,0.600480844,0.674934272,0.749387701
PC,resid rural,refined liquids,resid rural water heaters,0.004897783,0.080252981,0.155608179,0.230963377,0.306318575,0.381673772,0.45702897,0.532384168,0.607739366,0.683094564,0.758449762
RJ,resid rural,electricity,resid rural water heaters,0.004919967,0.080726049,0.156532132,0.232338214,0.308144297,0.38395038,0.459756462,0.535562545,0.611368627,0.68717471,0.762980792
RJ,resid rural,refined liquids,resid rural water heaters,0.004964334,0.081672186,0.158380038,0.23508789,0.311795742,0.388503594,0.465211446,0.541919298,0.61862715,0.695335002,0.772042853
SK,resid rural,electricity,resid rural water heaters,0.005119621,8.50E-02,0.16484771,2.45E-01,0.3245758,4.04E-01,0.484303889,5.64E-01,0.644031978,7.24E-01,0.803760068
SK,resid rural,refined liquids,resid rural water heaters,0.005163989,0.085929803,0.166695617,0.247461431,0.328227245,0.408993059,0.489758873,0.570524687,0.651290501,0.732056315,0.812822129
TN,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
TN,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
TR,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
TR,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
TS,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
TS,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
UK,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
UK,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
UP,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
UP,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
WB,resid rural,electricity,resid rural water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
WB,resid rural,refined liquids,resid rural water heaters,5.23E-03,0.087349008,1.69E-01,0.251585944,3.34E-01,0.41582288,4.98E-01,0.580059816,6.62E-01,0.744296752,8.26E-01
AN,resid urban,electricity,resid urban water heaters,0.00121881,9.95E-04,1.61E-02,0.023669956,3.12E-02,0.038827018,4.64E-02,0.053984081,6.16E-02,0.069141144,0.069141144
AP,resid urban,electricity,resid urban water heaters,0.001447808,9.54E-04,0.023075765,0.03401816,0.044960555,0.05590295,0.066845345,0.07778774,0.088730136,0.099672531,0.099672531
AR,resid urban,electricity,resid urban water heaters,0.00121881,9.95E-04,1.61E-02,0.023669956,3.12E-02,0.038827018,4.64E-02,0.053984081,6.16E-02,0.069141144,0.069141144
AS,resid urban,electricity,resid urban water heaters,0.001447808,9.54E-04,0.023075765,0.03401816,0.044960555,0.05590295,0.066845345,0.07778774,0.088730136,0.099672531,0.099672531
BR,resid urban,electricity,resid urban water heaters,0.001695595,0.013210942,0.024726289,0.036241636,0.047756983,0.05927233,0.070787677,0.082303024,0.093818371,0.105333718,0.116849065
CG,resid urban,electricity,resid urban water heaters,0.002602398,0.016127845,0.029653293,0.04317874,0.056704188,0.070229636,0.083755083,0.097280531,0.110805979,0.124331426,0.137856874
CH,resid urban,electricity,resid urban water heaters,0.001840246,0.02511394,0.048387633,0.071661327,0.094935021,0.118208714,0.141482408,0.164756102,0.188029796,0.211303489,0.234577183
DD,resid urban,electricity,resid urban water heaters,0.001445085,0.018328266,0.035211447,0.052094629,0.06897781,0.085860992,0.102744173,0.119627355,0.136510536,0.153393718,0.170276899
DL,resid urban,electricity,resid urban water heaters,0.002191357,2.25E-02,0.042885892,6.32E-02,0.083580427,1.04E-01,0.124274961,1.45E-01,0.164969496,1.85E-01,0.205664031
DN,resid urban,electricity,resid urban water heaters,0.002257909,0.02395783,0.045657752,0.067357673,0.089057594,0.110757516,0.132457437,0.154157358,0.17585728,0.197557201,0.219257122
GA,resid urban,electricity,resid urban water heaters,0.002457563,0.028215447,0.05397333,0.079731213,0.105489097,0.13124698,0.157004864,0.182762747,0.208520631,0.234278514,0.260036398
GJ,resid urban,electricity,resid urban water heaters,0.002524115,0.029634652,0.05674519,0.083855727,0.110966264,0.138076802,0.165187339,0.192297877,0.219408414,0.246518952,0.273629489
HP,resid urban,electricity,resid urban water heaters,0.002723769,0.033892269,0.065060768,0.096229268,0.127397767,0.158566267,0.189734766,0.220903266,0.252071765,0.283240265,0.314408765
HR,resid urban,electricity,resid urban water heaters,0.00279032,0.035311474,0.067832628,0.100353781,0.132874935,0.165396088,0.197917242,0.230438396,0.262959549,0.295480703,0.328001856
JH,resid urban,electricity,resid urban water heaters,0.002989975,0.03956909,0.076148206,0.112727322,0.149306437,0.185885553,0.222464669,0.259043785,0.2956229,0.332202016,0.368781132
JK,resid urban,electricity,resid urban water heaters,0.003056526,0.040988296,0.078920066,0.116851835,0.154783605,0.192715375,0.230647144,0.268578914,0.306510684,0.344442454,0.382374223
KA,resid urban,electricity,resid urban water heaters,3.12E-03,0.042407502,8.17E-02,0.120976349,1.60E-01,0.199545196,2.39E-01,0.278114043,3.18E-01,0.356682891,3.96E-01
KL,resid urban,electricity,resid urban water heaters,0.003322732,0.046665118,0.090007504,0.13334989,0.176692275,0.220034661,0.263377047,0.306719433,0.350061819,0.393404204,0.43674659
LA,resid urban,electricity,resid urban water heaters,0.003522386,0.050922734,0.098323082,0.14572343,0.193123778,0.240524126,0.287924474,0.335324822,0.38272517,0.430125518,0.477525866
LD,resid urban,electricity,resid urban water heaters,0.003588938,5.23E-02,0.101094942,1.50E-01,0.198600946,2.47E-01,0.29610695,3.45E-01,0.393612953,4.42E-01,0.491118957
MH,resid urban,electricity,resid urban water heaters,0.003788592,0.056599556,0.10941052,0.162221484,0.215032448,0.267843412,0.320654376,0.37346534,0.426276304,0.479087268,0.531898233
ML,resid urban,electricity,resid urban water heaters,0.003855144,0.058018762,0.11218238,0.166345998,0.220509616,0.274673234,0.328836852,0.38300047,0.437164088,0.491327706,0.545491324
MN,resid urban,electricity,resid urban water heaters,0.004054798,0.062276378,0.120497958,0.178719538,0.236941119,0.295162699,0.353384279,0.411605859,0.469827439,0.528049019,0.5862706
MP,resid urban,electricity,resid urban water heaters,0.004121349,0.063695584,0.123269818,0.182844052,0.242418286,0.30199252,0.361566755,0.421140989,0.480715223,0.540289457,0.599863691
MZ,resid urban,electricity,resid urban water heaters,0.004321004,6.80E-02,0.131585396,1.95E-01,0.258849789,3.22E-01,0.386114181,4.50E-01,0.513378574,5.77E-01,0.640642967
NL,resid urban,electricity,resid urban water heaters,0.004387555,6.94E-02,0.134357256,1.99E-01,0.264326956,3.29E-01,0.394296657,4.59E-01,0.524266358,5.89E-01,0.654236058
OD,resid urban,electricity,resid urban water heaters,0.00458721,0.073630022,0.142672834,0.211715647,0.280758459,0.349801272,0.418844084,0.487886896,0.556929709,0.625972521,0.695015334
PB,resid urban,electricity,resid urban water heaters,0.004653761,0.075049227,0.145444694,0.21584016,0.286235627,0.356631093,0.42702656,0.497422026,0.567817492,0.638212959,0.708608425
PC,resid urban,electricity,resid urban water heaters,0.004853415,0.079306844,0.153760272,0.228213701,0.302667129,0.377120558,0.451573986,0.526027415,0.600480844,0.674934272,0.749387701
RJ,resid urban,electricity,resid urban water heaters,0.004919967,0.080726049,0.156532132,0.232338214,0.308144297,0.38395038,0.459756462,0.535562545,0.611368627,0.68717471,0.762980792
SK,resid urban,electricity,resid urban water heaters,0.005119621,8.50E-02,0.16484771,2.45E-01,0.3245758,4.04E-01,0.484303889,5.64E-01,0.644031978,7.24E-01,0.803760068
TN,resid urban,electricity,resid urban water heaters,0.005186173,0.086402871,0.16761957,0.248836269,0.330052967,0.411269666,0.492486365,0.573703063,0.654919762,0.736136461,0.817353159
TR,resid urban,electricity,resid urban water heaters,0.005408011,0.091133556,0.176859102,0.262584647,0.348310193,0.434035738,0.519761283,0.605486829,0.691212374,0.77693792,0.862663465
TS,resid urban,electricity,resid urban water heaters,0.005474562,0.092552762,0.179630961,0.266709161,0.35378736,0.44086556,0.527943759,0.615021958,0.702100158,0.789178357,0.876256557
UK,resid urban,electricity,resid urban water heaters,0.005674217,0.096810378,0.18794654,0.279082701,0.370218863,0.461355024,0.552491186,0.643627347,0.734763509,0.825899671,0.917035832
UP,resid urban,electricity,resid urban water heaters,0.005740768,0.098229584,0.190718399,0.283207215,0.37569603,0.468184846,0.560673662,0.653162477,0.745651293,0.838140108,0.930628924
WB,resid urban,electricity,resid urban water heaters,0.005940422,0.1024872,0.199033978,0.295580755,0.392127533,0.488674311,0.585221088,0.681767866,0.778314644,0.874861421,0.971408199
