# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GA,Goa,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655,55025.02238,56742.32655,56742.32655,56742.32655,56742.32655,56742.32655
GJ,Gujarat,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435,936769.7909,1089811.435,1089811.435,1089811.435,1089811.435,1089811.435
HP,Himachal Pradesh,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335,110884.5722,110033.9335,110033.9335,110033.9335,110033.9335,110033.9335
HR,Haryana,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323,457045.4116,494068.0323,494068.0323,494068.0323,494068.0323,494068.0323
JH,Jharkhand,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,217617.5,224146.37,217617.5,217617.5,217617.5,217617.5,217617.5
JK,Jammu and Kashmir,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929,122299.1699,106505.5929,106505.5929,106505.5929,106505.5929,106505.5929
KA,Karnataka,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374,961097.4436,1043533.374,1043533.374,1043533.374,1043533.374,1043533.374
KL,Kerala,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107,574872.2846,520578.5107,520578.5107,520578.5107,520578.5107,520578.5107
LA,Ladakh,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,2039,4258.302021,2039,2039,2039,2039,2039
LD,Lakshadweep,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,2806,1022.171994,2806,2806,2806,2806,2806
MH,Maharashtra,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951,1979647.423,1942768.951,1942768.951,1942768.951,1942768.951,1942768.951
ML,Meghalaya,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761,29133.34682,23742.39761,23742.39761,23742.39761,23742.39761,23742.39761
MN,Manipur,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,17744.47,20819.26369,17744.47,17744.47,17744.47,17744.47,17744.47
MP,Madhya Pradesh,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,493516.45,482251.5143,493516.45,493516.45,493516.45,493516.45,493516.45
MZ,Mizoram,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964,11379.88936,14247.75964,14247.75964,14247.75964,14247.75964,14247.75964
NL,Nagaland,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351,18378.54144,16484.89351,16484.89351,16484.89351,16484.89351,16484.89351
OD,Odisha,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148,369949.9641,359049.5148,359049.5148,359049.5148,359049.5148,359049.5148
PB,Punjab,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525,417539.035,375238.2525,375238.2525,375238.2525,375238.2525,375238.2525
PC,Puducherry,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982,26647.5881,22489.17982,22489.17982,22489.17982,22489.17982,22489.17982
RJ,Rajasthan,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348,626852.0138,633277.7348,633277.7348,633277.7348,633277.7348,633277.7348
SK,Sikkim,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616,16362.08506,16467.20616,16467.20616,16467.20616,16467.20616,16467.20616
TN,Tamil Nadu,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855,1110529.418,1116333.855,1116333.855,1116333.855,1116333.855,1116333.855
TR,Tripura,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,33644.76,29790.75203,33644.76,33644.76,33644.76,33644.76,33644.76
TS,Telangana,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,559491.54,515024.6993,559491.54,559491.54,559491.54,559491.54,559491.54
UK,Uttarakhand,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609,173603.6703,180843.6609,180843.6609,180843.6609,180843.6609,180843.6609
UP,Uttar Pradesh,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35,1138350.182,1079879.35,1079879.35,1079879.35,1079879.35,1079879.35
WB,West Bengal,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575,833992.7387,711408.0575,711408.0575,711408.0575,711408.0575,711408.0575
