INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaTranTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,tranSubsector,tranTechnology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
DN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
GA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.02,0.02,fixed
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.02,0.05,linear
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
GJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
HP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.001,0.001,fixed
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.001,0.05,linear
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
HR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
JH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
JK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
KA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
KL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
LA,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.005,linear
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
LD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.01,0.01,fixed
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.01,0.05,linear
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MH,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
ML,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.001,0.001,fixed
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.001,0.05,linear
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
MZ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
NL,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
OD,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
PB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
PC,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
RJ,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
SK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2025,0,0,fixed
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2025,2050,0.001,0.05,linear
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
TN,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
TR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.002,0.002,fixed
TR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.002,0.05,linear
TR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
TR,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
TS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
TS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
TS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
TS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
TS,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
UK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
UK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
UK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.005,linear
UK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.005,0.5,linear
UK,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.005,0.005,fixed
UP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0.001,0.001,fixed
UP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2050,0.001,0.05,linear
UP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
UP,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
WB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2010,2015,0,0,fixed
WB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2015,2020,0,0,fixed
WB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2020,2050,0.001,0.05,linear
WB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2050,2100,0.05,1,linear
WB,trn_pass_road_LDV_4W,LDV_4W,NG,share-weight,2045,2050,0.05,0.05,fixed
AN,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
AN,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
AN,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
AP,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
AP,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
AP,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
AR,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
AR,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
AR,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
AS,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
AS,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
AS,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
BR,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
BR,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
BR,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
CG,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
CG,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
CG,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
CH,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
CH,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
CH,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
DD,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
DD,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
DD,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
DL,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
DL,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
DL,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
DN,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
DN,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
DN,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
GA,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
GA,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
GA,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
GJ,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
GJ,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
GJ,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
HP,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
HP,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
HP,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
HR,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
HR,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
HR,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
JH,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
JH,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
JH,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
JK,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
JK,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
JK,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
KA,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
KA,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
KA,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
KL,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
KL,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
KL,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
LA,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
LA,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
LA,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
LD,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
LD,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
LD,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
MH,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
MH,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
MH,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
ML,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
ML,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
ML,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
MN,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
MN,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
MN,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
MP,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
MP,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
MP,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
MZ,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
MZ,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
MZ,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
NL,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
NL,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
NL,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
OD,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
OD,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
OD,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
PB,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
PB,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
PB,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
PC,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
PC,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
PC,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
RJ,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
RJ,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
RJ,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
SK,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
SK,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
SK,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
TN,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
TN,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
TN,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
TR,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
TR,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
TR,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
TS,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
TS,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
TS,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
UK,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
UK,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
UK,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
UP,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
UP,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
UP,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
WB,trn_freight_road,Truck,NG,share-weight,2010,2015,0,0,fixed
WB,trn_freight_road,Truck,NG,share-weight,2015,2025,0.01,0.01,fixed
WB,trn_freight_road,Truck,NG,share-weight,2025,2050,0.01,0.2,linear
AN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
AP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
AR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
AS,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
BR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
CG,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
CH,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
DD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
DL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
DN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
GA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
GJ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
HP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
HR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
JH,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
JK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
KA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
KL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
LA,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
LD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
MH,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
ML,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
MN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
MP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
MZ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
NL,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
OD,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
PB,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
PC,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
RJ,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
SK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
TN,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
TR,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
TS,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
UK,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
UP,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
WB,trn_freight_road,Truck,NG,share-weight,2045,2050,0.2,0.2,fixed
AN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
AP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
AR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
AS,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
BR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
CG,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
CH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
DD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
DL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
DN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
GA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
GJ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
HP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
HR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
JH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
JK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
KA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
KL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
LA,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
LD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
MH,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
ML,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
MN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
MP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
MZ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
NL,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
OD,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
PB,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
PC,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
RJ,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
SK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
TN,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
TR,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
TS,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
UK,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
UP,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
WB,trn_freight_road,Truck,NG,share-weight,2050,2100,0.2,1,linear
